"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000175426.9",137.982003649818,5.35399530661922,0.584022812135245,9.16744208508652,4.84375851781417e-20,1.24983501035159e-15
"ENSG00000110680.11",178.101103200021,4.34013754358395,0.59514182569993,7.29261052771687,3.04005979374891e-13,3.92213314290516e-09
"ENSG00000168631.10",112.993479658693,6.11927860719253,0.922773959683276,6.63139498354813,3.32529084503468e-11,2.86008265581433e-07
"ENSG00000110244.6",9962.16817803839,4.01252367456598,0.639123619572818,6.27816521199435,3.42591774162654e-10,2.20997388717974e-06
"ENSG00000182183.13",46.9160921442604,-2.48225570899356,0.443432528797265,-5.59782052012795,2.17063295743537e-08,0.00011201768440141
"ENSG00000198915.10",95.1157829629198,-2.60987593702534,0.469031830332915,-5.56438980947812,2.63071295727653e-08,0.000113133810727677
"ENSG00000133169.5",121.814815596471,-3.87063558570529,0.710428418074988,-5.4483118738315,5.08501373558554e-08,0.00018744087059902
"ENSG00000125869.8",61.5335878965886,-2.73755123634161,0.506128656853738,-5.40880505237369,6.34466458102385e-08,0.000204639225230198
"ENSG00000160221.15",89.6668582529979,-2.44430667608639,0.45418663982663,-5.38172297850816,7.37762416897514e-08,0.000211516484924517
"ENSG00000177679.15",151.453777950647,-2.50430428927707,0.479368877406224,-5.22416954314472,1.74938438698686e-07,0.00045139365337422
"ENSG00000081051.6",12813.2613758315,-3.18295779681929,0.612799430478629,-5.19412655839649,2.05683190977766e-07,0.000482476670618117
"ENSG00000183837.9",107.178301033559,-2.24596573796245,0.434844505505976,-5.16498589616327,2.40457053226179e-07,0.000517042778699592
"ENSG00000155666.10",1024.20343797369,1.69684237781881,0.334392161727805,5.07440835051641,3.8870352005045e-07,0.000771516686758597
"ENSG00000269404.5",55.61457736932,-2.26240313140104,0.449306567754493,-5.03532174636995,4.77046872010801e-07,0.000879231459892478
"ENSG00000132698.12",104.502902678498,-3.08958247162023,0.617618602939096,-5.00241161279415,5.6617542667846e-07,0.000973934968972287
"ENSG00000233392.4",102.403232694939,-2.89605102791915,0.581496100188337,-4.98034471251169,6.34711150583617e-07,0.00102359073865682
"ENSG00000185559.12",1767.66979925435,-4.83790721732241,0.984556756591197,-4.91379210485799,8.93314745712671e-07,0.00135589414021318
"ENSG00000231196.3",71.0396681743008,-2.94557400362197,0.601633009402099,-4.89596474526768,9.78246043688876e-07,0.001402315703628
"ENSG00000258484.3",39.5665060026458,-2.37707954893833,0.491638977513069,-4.83501035854127,1.33138702099474e-06,0.00180809364751197
"ENSG00000105369.8",106.765619219068,-2.12551853111686,0.44064590563214,-4.82364298396837,1.40959633227273e-06,0.00181859070808167
"ENSG00000222037.5",8.93779645513255,-2.87300684585018,0.598300839198232,-4.80194353345756,1.57133007901161e-06,0.00193071571565413
"ENSG00000211955.2",118.669661549866,-2.8990007868168,0.617736203783675,-4.69294298935408,2.69302557583967e-06,0.00315855176969959
"ENSG00000280298.1",11.6249896099398,-6.1324538847562,1.31218005887307,-4.67348504748875,2.96131274536394e-06,0.00332220664211416
"ENSG00000254480.1",17.5950378232696,2.34063336077065,0.508699834739915,4.6012072364194,4.20049245898084e-06,0.00451605445496178
"ENSG00000244607.4",45.0856880742298,1.6272550267454,0.355018357086493,4.58357995935672,4.57081980904316e-06,0.00471763454130962
"ENSG00000167608.10",734.364465439008,-2.16105623227335,0.476013420691877,-4.5399060999841,5.62792862243666e-06,0.00556489914606248
"ENSG00000170577.7",33.9055537639895,-2.40947763752489,0.531575005268632,-4.5327143180994,5.82305456511596e-06,0.00556489914606248
"ENSG00000187773.8",17.4766086354706,1.89126625159294,0.418958214604335,4.5142121234669,6.35525830304421e-06,0.00581583724680461
"ENSG00000253998.3",7.04548171593686,-3.92194804098667,0.87073444576554,-4.50418386462079,6.66285021112886e-06,0.00581583724680461
"ENSG00000083307.9",74.0336004192279,-2.77222891096176,0.618464545051139,-4.48243789097488,7.37951239381696e-06,0.00581583724680461
"ENSG00000170962.11",556.059486981151,-1.44633828893494,0.32307414712549,-4.47679983620957,7.57702274298686e-06,0.00581583724680461
"ENSG00000220267.1",10.8898413769486,-2.40952446448507,0.53824989166222,-4.47659070964974,7.58444514922755e-06,0.00581583724680461
"ENSG00000211893.3",2053.50350051991,-2.22623562939098,0.497653796215627,-4.47346256839642,7.69630359914037e-06,0.00581583724680461
"ENSG00000188958.8",34.8955565127494,2.02118955957249,0.452221230676142,4.46947074234107,7.84133837909386e-06,0.00581583724680461
"ENSG00000165731.16",69.2068813920927,2.11320712306893,0.472945815641412,4.46818018720174,7.88878439089104e-06,0.00581583724680461
"ENSG00000100170.8",145.972757299248,-2.96161929254292,0.664324624776248,-4.4580904908356,8.2692994181091e-06,0.00582844833737175
"ENSG00000137948.17",6.3862587989488,-3.35158718861857,0.752183391220917,-4.45581121271289,8.35765564014862e-06,0.00582844833737175
"ENSG00000236039.1",36.2310280544988,1.62653201519745,0.366664990535967,4.43601668329418,9.16387490567589e-06,0.00596666753446187
"ENSG00000196155.11",157.651059783402,-1.7950640041711,0.40487725170001,-4.43360054592826,9.26722582249201e-06,0.00596666753446187
"ENSG00000156076.8",8.75906241633371,-3.74380291987878,0.844577609180073,-4.43275180301466,9.30379461887314e-06,0.00596666753446187
"ENSG00000167476.9",41.8593730901578,-1.53518210762402,0.346644909493575,-4.42868787505582,9.48081110386144e-06,0.00596666753446187
"ENSG00000256849.1",6.22326627117823,2.40807472104432,0.549311669546451,4.38380404886099,1.16624683999901e-05,0.00716492076487966
"ENSG00000187288.9",157.471260819981,1.83863144807199,0.421756486438258,4.35946217116724,1.30382489151386e-05,0.00782385899435634
"ENSG00000204778.4",13.0712552596445,1.1524598647748,0.265021702535318,4.34854901975895,1.37041189873666e-05,0.00785273084788096
"ENSG00000154493.16",14.8248011371552,2.85720186181197,0.657088521265234,4.34827541395852,1.372122291228e-05,0.00785273084788096
"ENSG00000254709.5",473.886499424808,-2.37552647698383,0.54686854201031,-4.34387113994765,1.39993651514368e-05,0.00785273084788096
"ENSG00000230006.6",19.9823737895185,-2.25803180868218,0.52255199795349,-4.32116194661102,1.55209702702457e-05,0.00850706052807584
"ENSG00000198788.8",6.7483028924292,2.85779234443238,0.662004624493863,4.31687670855368,1.58252492093028e-05,0.00850706052807584
"ENSG00000254802.1",5.56286280540083,-1.69850229314943,0.395192890617087,-4.29790700560743,1.72418467828606e-05,0.00907941576608472
"ENSG00000132429.8",39.2583856180939,-3.33010095862387,0.779703571506452,-4.27098333305033,1.94612953990224e-05,0.0100431961036195
"ENSG00000188525.3",32.2300026411369,2.74169445745779,0.647795191648473,4.23234765062223,2.31264564053409e-05,0.011349130753074
"ENSG00000083817.8",129.936332786547,-0.596118520556027,0.141014278273093,-4.22736284478628,2.36446212573155e-05,0.011349130753074
"ENSG00000144868.12",23.9483395695544,-1.24743509536741,0.29516085806263,-4.22628902611035,2.37576805531064e-05,0.011349130753074
"ENSG00000231172.2",20.6093123076155,2.90101400100995,0.686923121237839,4.22320040091577,2.40857476089948e-05,0.011349130753074
"ENSG00000215182.8",21.8471621719698,3.7322266932005,0.883949455610939,4.22221731062777,2.41910704731648e-05,0.011349130753074
"ENSG00000081842.16",11.2768871406213,-2.47239045549383,0.595705456909936,-4.15035723916094,3.31956762529065e-05,0.0152955006134598
"ENSG00000211949.3",581.011528075393,-2.59395401793364,0.626076962407697,-4.14318713782104,3.4251222724729e-05,0.015504987718705
"ENSG00000101850.11",110.886997618434,-1.55051425009011,0.379217962640563,-4.08871520561314,4.33769010022589e-05,0.0192974858027808
"ENSG00000186417.12",394.650744388716,2.14457013896738,0.52576371475288,4.07896185832332,4.52372572989052e-05,0.0195178063403643
"ENSG00000123243.13",1077.99452686172,-2.13065288547739,0.522448846473297,-4.078203827724,4.5384969981082e-05,0.0195178063403643
"ENSG00000214425.5",26.3551624525288,-1.48941926912411,0.367375150908528,-4.05421886984119,5.03021035395685e-05,0.0212777897972375
"ENSG00000275418.1",3.4477709955511,-2.54389167466076,0.630191184388018,-4.03669828725254,5.42087105794584e-05,0.0225604412755124
"ENSG00000110777.10",125.517249673444,-1.71638096770875,0.427939286952314,-4.01080485022168,6.05121122796077e-05,0.0247840322722336
"ENSG00000116106.10",121.5267787091,-1.22729742051601,0.307256690861352,-3.99437166714076,6.48660436366438e-05,0.0258541242417253
"ENSG00000186897.4",17.0288691887279,-2.07918655736551,0.521178823740743,-3.98939186063283,6.6242910303446e-05,0.0258541242417253
"ENSG00000226598.1",9.6829706711325,1.67983943880279,0.421283485842405,3.98743244218025,6.67922151517774e-05,0.0258541242417253
"ENSG00000167767.12",288.639579310515,-2.20682887926175,0.553613675574604,-3.98622537091636,6.71327490677672e-05,0.0258541242417253
"ENSG00000225972.1",111.673394027007,-1.58004673770307,0.397538209555636,-3.97457829140306,7.05040675829426e-05,0.0264318743478132
"ENSG00000246228.5",7.58730815361545,-2.3986581374431,0.603590983579728,-3.97397940442605,7.06816777118594e-05,0.0264318743478132
